"CREDIT_SCORE_ID","VER_NUM","BORROWER_TYPE","ACTIVE_IND","CREDIT_REPORT_ID","CREATED_BY","CREATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_DATE","PRODUCT_SERVICE_CODE","CREDIT_SCORE","EVAL_RATING_CODE","SCORE_MSG","FACTOR_USED_IN_SCORING","CREDIT_BUREAU_CODE","SCORE_EVAL_FACTOR_NUM","MODEL_NAME_TYPE_KEY","EXCLUSION_REASON_TYPE"
"199","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"200","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"201","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"202","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"203","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"204","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"64","0","P","Y","124","T12100A","29-SEP-09 05.00.17.000000000 PM","","","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"127","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"128","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"129","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"130","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"131","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"132","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"65","0","C","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"66","0","P","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"67","0","P","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"68","0","C","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"69","0","C","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"70","0","P","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"115","0","P","Y","149","VISITOR","30-SEP-09 05.52.13.000000000 PM","","","","525","","","00040 --  DEROGATORY PUBLIC RECORD OR COLLECTION FILED|00010 --  PROPORTION OF BALANCES TO CREDIT LIMITS IS TOO HIGH ON BANK REVOLVING OR OTHER REVOLVING ACCOUNTS|00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00019 --  TOO FEW ACCOUNTS CURRENTLY PAID AS AGREED|","Equifax","","EquifaxBeacon",""
"116","0","P","Y","149","VISITOR","30-SEP-09 05.52.13.000000000 PM","","","","515","","","00003 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED |00057 --  RELATIONSHIP OF ACCTS OPENED IN PAST 12 MONTHS TO TOTAL ACCTS |00025 --  UTILIZATION OF AVAILABLE CREDIT ON BANK REVOLVING ACCOUNTS |00013 --  TOTAL OUTSTANDING BALANCES ON BANK REVOLVING ACCOUNTS |","Equifax","","Other",""
"117","0","P","Y","149","VISITOR","30-SEP-09 05.52.13.000000000 PM","","","","497","","","012 --  SCORE TEXT NOT PRESENT|029 --  SCORE TEXT NOT PRESENT|005 --  SCORE TEXT NOT PRESENT|","TransUnion","","Other",""
"118","0","P","Y","149","VISITOR","30-SEP-09 05.52.13.000000000 PM","","","","497","","","01 --  CURRENT BALANCES ON ACCOUNTS |12 --  LENGTH OF REVOLVING ACCOUNT HISTORY |10 --  PROPORTION OF BALANCE TO HIGH CREDIT ON BANK REVOLVING OR ALL REVOLVING ACCOUNTS|","Experian","","ExperianFairIsaac",""
"147","0","C","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"148","0","P","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"149","0","C","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"150","0","C","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"151","0","P","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"152","0","P","Y","182","T12100A","05-OCT-09 08.34.15.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"153","0","C","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"154","0","P","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"155","0","P","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"156","0","C","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"157","0","P","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"158","0","C","Y","183","T12100A","05-OCT-09 08.35.44.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"165","1","P","N","191","VISITOR","06-OCT-09 02.04.20.000000000 PM","T23497A","06-OCT-09 02.05.48.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"166","1","P","N","191","VISITOR","06-OCT-09 02.04.20.000000000 PM","T23497A","06-OCT-09 02.05.48.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"167","0","P","Y","192","VISITOR","06-OCT-09 02.06.48.000000000 PM","","","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"168","0","P","Y","192","VISITOR","06-OCT-09 02.06.48.000000000 PM","","","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"169","1","P","N","193","VISITOR","06-OCT-09 02.16.39.000000000 PM","T23497A","06-OCT-09 02.24.14.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"170","1","P","N","193","VISITOR","06-OCT-09 02.16.39.000000000 PM","T23497A","06-OCT-09 02.24.14.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"171","1","P","N","194","VISITOR","06-OCT-09 02.24.53.000000000 PM","T23497A","06-OCT-09 03.57.59.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"172","1","P","N","194","VISITOR","06-OCT-09 02.24.53.000000000 PM","T23497A","06-OCT-09 03.57.59.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"193","1","C","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"194","1","C","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"195","1","P","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"196","1","P","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"197","1","P","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"198","1","C","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"81","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"82","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"83","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"84","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"85","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"86","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"161","1","P","N","189","VISITOR","06-OCT-09 11.39.14.000000000 AM","T23497A","06-OCT-09 12.01.02.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"162","1","P","N","189","VISITOR","06-OCT-09 11.39.14.000000000 AM","T23497A","06-OCT-09 12.01.02.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
